system,category,rag_tier,episodic,semantic,graph,fusion,consolidation,forgetting,contradiction,preference
Backboard,Dedicated Memory Systems (45),Advanced,1,1,0,0,0,0,0,0
Bedrock AgentCore,Dedicated Memory Systems (45),Advanced,1,1,0,0,1,0,0,1
ChatGPT Memory,Dedicated Memory Systems (45),Naive,1,0,0,0,0,1,0,1
Claude Memory Tool,Dedicated Memory Systems (45),Naive,1,0,0,0,0,0,0,0
Cognee,Dedicated Memory Systems (45),Advanced,1,1,1,0,0,0,0,0
Cortex-Mem,Dedicated Memory Systems (45),Naive,0,1,0,0,0,0,0,0
EmergenceMem,Dedicated Memory Systems (45),Advanced,1,1,0,0,0,0,0,0
EverMemOS,Dedicated Memory Systems (45),Advanced,1,1,1,0,1,1,0,0
Gemini Memory,Dedicated Memory Systems (45),Naive,1,0,0,0,0,0,0,1
Grok Memory,Dedicated Memory Systems (45),Naive,1,0,0,0,0,0,0,1
Hermes Agent,Dedicated Memory Systems (45),Modular,1,1,1,1,0,1,0,1
Honcho,Dedicated Memory Systems (45),Advanced,1,1,0,0,1,1,0,1
MAGMA,Dedicated Memory Systems (45),Modular,1,1,1,1,1,0,0,0
Mastra Obs. Mem.,Dedicated Memory Systems (45),Advanced,1,1,0,0,0,0,0,0
MCP Mem. Service,Dedicated Memory Systems (45),Advanced,0,1,1,1,0,0,0,0
mcp-memory-svc,Dedicated Memory Systems (45),Advanced,1,1,1,0,1,0,0,0
Mem0,Dedicated Memory Systems (45),Advanced,1,1,1,1,1,1,1,1
Memanto,Dedicated Memory Systems (45),Advanced,0,1,0,0,0,0,1,0
Memary,Dedicated Memory Systems (45),Advanced,0,1,1,0,0,1,0,0
MemMachine,Dedicated Memory Systems (45),Advanced,1,1,0,0,0,0,0,0
Memobase,Dedicated Memory Systems (45),Naive,0,0,0,0,0,0,0,1
memU,Dedicated Memory Systems (45),Advanced,1,1,0,1,0,1,0,1
MemOS,Dedicated Memory Systems (45),Advanced,1,1,0,0,1,0,0,0
MemoryOS,Dedicated Memory Systems (45),Advanced,1,1,0,1,0,1,0,1
Memonto,Dedicated Memory Systems (45),Naive,0,1,1,0,0,0,0,0
Memvid,Dedicated Memory Systems (45),Advanced,1,0,0,1,0,0,0,0
Meta AI Memory,Dedicated Memory Systems (45),Naive,1,0,0,0,0,0,0,0
Motorhead,Dedicated Memory Systems (45),Naive,1,0,0,0,0,1,0,0
Neo4j Agent Mem.,Dedicated Memory Systems (45),Advanced,1,1,1,1,0,0,0,0
OMEGA,Dedicated Memory Systems (45),Advanced,1,1,0,0,0,1,0,0
OpenClaw Redis,Dedicated Memory Systems (45),Advanced,1,1,0,0,0,1,0,1
OpenMemory,Dedicated Memory Systems (45),Advanced,1,1,1,1,0,1,0,1
OpenViking,Dedicated Memory Systems (45),Naive,1,0,0,0,0,0,0,0
MIRIX,Dedicated Memory Systems (45),Modular,1,1,1,1,0,0,0,0
Memoria,Dedicated Memory Systems (45),Advanced,1,1,0,0,1,0,0,1
Papr Memory,Dedicated Memory Systems (45),Advanced,1,1,1,1,0,0,0,0
Perplexity Memory,Dedicated Memory Systems (45),Advanced,1,0,0,0,0,0,0,1
Redis Memory,Dedicated Memory Systems (45),Advanced,0,1,0,1,0,0,0,0
ReMe,Dedicated Memory Systems (45),Advanced,1,1,0,1,1,1,0,1
Supermemory,Dedicated Memory Systems (45),Advanced,1,1,0,0,1,1,1,0
TiMem,Dedicated Memory Systems (45),Advanced,1,1,0,0,1,1,0,0
Vestige,Dedicated Memory Systems (45),Modular,1,1,1,1,0,1,0,1
RecallM,Dedicated Memory Systems (45),Advanced,0,1,1,0,0,0,1,0
RetainDB,Dedicated Memory Systems (45),Advanced,1,1,0,0,0,0,0,0
Zep/Graphiti,Dedicated Memory Systems (45),Modular,1,1,1,1,1,1,1,0
Agency Swarm,Framework Memory Modules (12),Naive,1,0,0,0,0,0,0,0
AgentScope,Framework Memory Modules (12),Advanced,1,1,0,1,1,1,0,1
AutoGPT,Framework Memory Modules (12),Naive,1,0,0,0,0,0,0,0
CAMEL,Framework Memory Modules (12),Advanced,1,1,0,0,0,0,0,0
CrewAI,Framework Memory Modules (12),Advanced,1,1,0,1,0,0,0,1
Haystack,Framework Memory Modules (12),Naive,1,0,0,0,0,0,0,0
LangChain,Framework Memory Modules (12),Naive,1,0,0,0,0,1,0,0
LangMem SDK,Framework Memory Modules (12),Naive,0,1,0,0,0,0,0,0
Letta (MemGPT),Framework Memory Modules (12),Naive,1,1,0,0,1,1,0,1
LlamaIndex,Framework Memory Modules (12),Naive,1,0,0,0,0,1,0,0
MS GraphRAG,Framework Memory Modules (12),Modular,0,1,1,1,0,0,0,0
Qwen-Agent,Framework Memory Modules (12),Naive,1,0,0,0,0,0,0,0
AgentMemory,Coding Agent Memory (26),Modular,1,1,1,1,1,1,1,0
Augment Code,Coding Agent Memory (26),Advanced,1,1,0,0,0,0,0,1
Basic Memory,Coding Agent Memory (26),Advanced,0,1,1,0,0,0,0,0
bellamem,Coding Agent Memory (26),Advanced,1,1,1,0,0,0,1,0
Beads,Coding Agent Memory (26),Advanced,1,1,1,0,1,1,0,0
Capy-Cortex,Coding Agent Memory (26),Advanced,1,1,1,1,1,0,0,0
chum-mem,Coding Agent Memory (26),Modular,1,1,1,1,1,0,1,0
Cipher (ByteRover),Coding Agent Memory (26),Advanced,1,1,0,0,0,1,0,0
claude-mem,Coding Agent Memory (26),Advanced,1,1,0,0,1,0,0,0
coolmanns 12-layer,Coding Agent Memory (26),Modular,1,1,1,1,1,1,1,0
Clawdbot-Next,Coding Agent Memory (26),Advanced,1,0,0,1,0,0,0,0
ClaudeHistory Cloud,Coding Agent Memory (26),Naive,1,0,0,0,0,0,0,0
Copilot Memory,Coding Agent Memory (26),Advanced,1,1,0,0,0,0,1,0
Cursor Memory,Coding Agent Memory (26),Advanced,1,0,0,0,0,0,0,1
Engram,Coding Agent Memory (26),Naive,1,0,0,0,0,0,0,0
episodic-memory,Coding Agent Memory (26),Advanced,1,0,0,0,0,0,0,0
Focus,Coding Agent Memory (26),Advanced,1,0,0,0,1,0,0,0
IronClaw,Coding Agent Memory (26),Advanced,1,1,0,1,0,0,0,0
Mastra,Coding Agent Memory (26),Advanced,1,1,0,0,0,0,0,0
Memori,Coding Agent Memory (26),Advanced,1,1,0,0,1,0,0,0
MemoryMesh,Coding Agent Memory (26),Naive,1,0,0,0,0,0,0,0
Nanobot,Coding Agent Memory (26),Naive,1,0,0,0,0,0,0,0
OpenFang,Coding Agent Memory (26),Advanced,1,1,1,1,0,1,0,0
Memsearch,Coding Agent Memory (26),Advanced,1,0,0,0,0,1,0,0
MemPalace,Coding Agent Memory (26),Advanced,1,0,1,0,0,0,0,0
QMD,Coding Agent Memory (26),Modular,1,1,0,1,0,0,0,0
Claude Code,File-Based Memory (6),Naive,1,0,0,0,0,0,0,1
